salary_is_predicted,description,id,title,created,salary_max,salary_min,area,location,company,category,tag,contract_type
0,"Nous sommes une ESN créée en 2011, avec une croissance importante et nous proposons principalement nos services dans l'Ile de France et le Grand Est. Nous sommes présents auprès de structures de premier plan dans le secteur des télécommunications, de la finance, des services et de l'industrie. Nous entendons aujourd'hui poursuivre avec succès notre développement. Fondée sur une culture d'entreprise solide où chacun est acteur majeur de son évolution et de sa progression, nous ne proposons pas s…",4224096798,Administrateur Outils de Supervision H/F,2023-07-26T07:07:25Z,45000.0,35000.0,"['France', 'Grand-Est', 'Bas-Rhin']","Bas-Rhin, Grand-Est",Lerins Technology,Emplois Informatique,it-jobs,
0,"ArcelorMittal est leader de l'industrie de l'acier et des mines, présent dans 60 pays. 9,5 Mt d'acier ont été produites en 2021 en France, territoire qui compte 15350 salariés dont plus de 800 chercheurs, répartis sur 40 sites de production, un réseau de distribution et services et 3 sites de R&D. Tu es à la recherche d'une alternance ? C'est ici que tout commence, en prenant part à l'aventure ArcelorMittal France en tant que : Technicien.ne de Maintenance des Systèmes de Production - H/F - 2 a…",4239644964,Alternance Og-11 Mtt Technicien.ne de Maintenance des Systèmes de Production H/F,2023-08-03T07:20:01Z,,,"['France', 'Hauts-De-France', 'Oise', 'Senlis', 'Montataire']","Montataire, Senlis",ArcelorMittal France,Emplois Informatique,it-jobs,
0,"En tant que développeur Fullstack senior, tu rejoindras une équipe globale d'une quinzaine de développeurs et plus particulièrement une nouvelle squad composée de plusieurs développeurs fullstack, d'un Lead dev et d'un Product Owner. Pas mal de sujets t'attendent : Migration vers .Net Core Migration du front sur les dernières versions d'Angular Développement de nouvelles fonctionnalités et écriture des IHM de l'application Mise en place d'algorithmes intelligents pour de l'OCR Automatisation de…",4173532131,Senior software fullstack engineer (h/f),2023-06-27T19:56:40Z,80000.0,60000.0,"['France', 'Auvergne-Rhône-Alpes', 'Ain', 'Bourg-en-Bresse']","Bourg-en-Bresse, Ain",Urban Linker,Emplois Informatique,it-jobs,
0,"Vous cherchez une société dans laquelle votre sens du service et vos compétences seront reconnus ? Un cadre de travail agréable pourvu de services de qualité ? Alors rejoignez notre partenaire, acteur incontournable dans le secteur de la fabrication de produits semis finis. Au sein d'un groupe industriel mondial en forte croissance en PACA, la DSI recherche un Ingénieur développement Java - Spring Boot / Oracle pour assurer le déploiement de l'infrastructure logicielle et technique. Vos mission…",4230202672,Développeur Backend H/F,2023-07-29T05:48:10Z,45000.0,40000.0,"['France', ""Provence-Alpes-Côte d'Azur"", 'Alpes-Maritimes', 'Grasse', 'Le Bar-sur-Loup']","Le Bar-sur-Loup, Grasse",Groupagora,Emplois Informatique,it-jobs,
0,"Step Up c'est une société d'ingénierie avec des expertises métiers fortes et des valeurs au coeur de notre ADN. Oubliez les sociétés d'ingénierie qui ne valorisent que vos seules compétences. Chez STEP UP, nous visons également l'adéquation entre la personnalité de nos collaborateurs et la culture d'entreprise de nos clients. Et ça, ça fait toute la différence  Précurseur dans ce domaine, STEP UP est un cabinet d'ingénierie industriel et informatique en forte croissance plaçant le développement…",4199601219,Administrateur Système Réseaux et Sécurité H/F,2023-07-11T07:57:56Z,,,['France'],France,Step Up,Emplois Informatique,it-jobs,
0,"Pour soutenir le développement et la transformation de notre DSI, nous recrutons un(e) : Directeur Etudes IT France H/F Basé à Laval Rattaché(e) à la DSI Monde, vous prenez en charge le pilotage du pôle IT métiers basé en France. À ce titre, vos missions seront de : - Manager en local les équipes Métiers constituées de Responsables de Domaine IT et d’AMOA - Recueillir, consolider et anticiper les besoins à long terme des RDM et développer une politique RH conforme aux ressources locales - Mett…",4179096152,Directeur Etudes IT France H/F,2023-06-30T11:27:37Z,150000.0,125000.0,"['France', 'Pays de la Loire', 'Mayenne', 'Laval']","Laval, Mayenne",NOZ,Emplois Informatique,it-jobs,
0,"Smarteo recherche pour l’un de ses clients, Un dev SecOPS sur Lille Descriptif: DEVELOPPEMENT SecOPS Expérimenté Objectif Intégrer une system Team du train Maintenir afin, entre autres, de : Réduire les délais de déploiement en passant en full Vertigo en sortie de PRE-INT : moins de 10j Préparer, optimiser et sécuriser les gestes d’exploitations de pré et post pour gagner en efficience en les automatisant Industrialisation et automatiser le retour arrière avec les services d’infra Monitoring ho…",4250122121,Un dev SecOPS sur Lille (IT),2023-08-08T21:43:17Z,,,"['France', 'Hauts-De-France', 'Nord']","Nord, Hauts-De-France",Smarteo,Emplois Informatique,it-jobs,contract
0,"Recrulab est un cabinet de recrutement créé par trois amis, indépendant et basé sur Lyon. Nous sommes spécialisés dans le recrutement de candidats en CDD/CDI pour nos clients sur des métiers en tension (informatique & tertiaire). PRÉSENTATION DE L'ENTREPRISE L'entreprise que nous accompagnons est spécialisée dans la maîtrise des risques. Afin d'accompagner sa croissance, nous l'aidons à recruter un Développeur Java Bac-End H/F en CDI sur son site de Tassin-la-Demi-Lune (69). DESCRIPTION DU POST…",4199610788,Développeur Java Back End H/F,2023-07-11T07:58:20Z,50000.0,40000.0,"['France', 'Auvergne-Rhône-Alpes', 'Rhône', 'Lyon', 'Tassin-la-Demi-Lune']","Tassin-la-Demi-Lune, Lyon",Recrulab,Emplois Informatique,it-jobs,
0,"Le groupe est spécialisé dans le secteur de l'environnement. Il compte de nombreux site en France répartis sur tout le territoire. Fed, cabinet entièrement dédié aux recrutements spécialisés, recherche pour un grand compte du secteur de l'environnement, un ou une : Afin d'accompagner le groupe dans sa transformation numérique, vous intégrerez une équipe en charge du renouvellement des infrastructures informatiques (système, réseau, stockage, sauvegarde, téléphonie). A ce titre, vos principales …",4254633201,Technicien Itinérant H/F,2023-08-11T06:45:16Z,40000.0,36000.0,"['France', 'Ile-de-France', 'Seine-Saint-Denis', 'Saint-Denis', 'La Courneuve']","La Courneuve, Saint-Denis",Fed IT,Emplois Informatique,it-jobs,
0,"Cat-Amania Créée en 1999, CAT-AMANIA fait partie des ESN les plus compétitives dans les régions où elle est implantée et se spécialise sur des projets d'envergure orientés métiers : Grande Distribution, Banque, Assurance et Protection sociale mais aussi Energie, Industrie, Secteur Public.En 2022 CAT-AMANIA c'est : 84millionsde chiffre d’affaires, 1100 collaborateurs répartis sur 15agences en France et 4 agences à l'international : Rabat, Luxembourg, Genève et Montréal.Aujourd'hui, l'objectif es…",4173970872,Analyste Programmeur Cobol/MVS – H/F,2023-06-28T01:09:37Z,60000.0,40000.0,['France'],France,Cat Amania,Emplois Informatique,it-jobs,
